question_id,question,expected_route,expected_answer_criteria,assistant_answer,evaluation
Q01,What are the company's core values and where should I document decisions?,general_company,Customer-first; document decisions in the project wiki,"The company’s core values are:

- Customer-first
- Ownership
- Clarity and transparency
- Continuous learning
- Data-informed decisions

Document decisions in the **project wiki within 24 hours**.",PASS
Q02,What are standard work hours and the core collaboration window?,general_company,10:00–19:00; 12:00–16:00,"Standard work hours are **10:00–19:00 local time**, with flexibility possible with manager approval. The core collaboration window is **12:00–16:00**.",PASS
Q03,What tools are considered common internal tools during onboarding?,general_company,project wiki; ticketing; expense portal; SSO,"Common internal tools during onboarding include:

- Project wiki (knowledge base)
- Ticketing system for HR and IT requests
- Expense portal
- Identity provider (SSO)
- Internal chat tool for quick questions
- Email for formal approvals and external communication",PASS
Q04,"As a Data Analyst, what are the first 30 days expectations?",role_specific,deliver one metrics report; one dashboard update,"In your first 30 days as a Data Analyst, you’re expected to:

- Learn the key business metrics and where they’re defined.
- Deliver one metrics report.
- Make one dashboard update.
- Document at least five metric definitions in the wiki.

You’ll typically use SQL and a notebook environment, a BI dashboard tool, and version control for analysis code as applicable. Consult the data lead for metric definitions, the product manager for prioritization, and engineering for pipeline access and data sources.",PASS
Q05,Who should a Product Manager ask for feasibility checks and why?,role_specific,Engineering lead for feasibility,"A Product Manager should ask:

- **The Engineering lead** for feasibility checks, to assess whether a proposed feature or requirement can be built.
- **Design** for UX flow and research considerations.
- **The Support lead** for recurring customer issues that may affect priorities or requirements.",PASS
Q06,What are key responsibilities of a Product Manager in this organization?,role_specific,goals and success metrics; PRDs; roadmap,"Key responsibilities of a Product Manager include:

- Defining product goals and success metrics
- Writing requirements and coordinating delivery with engineering and design
- Managing the product backlog and roadmap
- Running discovery through user feedback and support insights",FAIL
Q07,Which tools are commonly used by a Data Analyst here?,role_specific,SQL; notebooks; BI dashboard tool,"Common tools for a Data Analyst here include:

- SQL and a notebook environment
- A BI dashboard tool
- Version control for analysis code, as applicable",PASS
Q08,How do I submit an expense claim and by when?,admin_policy,Submit within 10 days; attach itemized receipt,"To submit an expense claim:

1. Submit it within **10 days of incurring the expense**.
2. Attach the **itemized receipt**. For travel expenses, also attach the **itinerary**.
3. Select the correct **cost center and project tag**.
4. Obtain **manager approval** if the claim is over **2,000**.

For business travel, you should also have obtained manager approval and a travel request number before traveling. Approved expenses are paid within **7–10 business days**.",PASS
Q09,Are meal expenses reimbursable during business travel and what is the daily limit?,admin_policy,Meals during travel; up to 800 per day,"Yes. Meals during approved business travel are reimbursable up to **800 per day in local currency**, provided you submit itemized receipts. Travel claims must also include the itinerary and be submitted within **10 days** of incurring the expense.",PASS
Q10,How do I request PTO and what notice is expected for planned leave?,admin_policy,Apply at least 7 days in advance,"Request PTO through the HR portal. For planned leave, submit the request at least **7 days in advance** and obtain **manager approval**. For emergencies, notify your manager and submit the request in the portal within **24 hours**.",PASS
Q11,What should I do if I can’t access a tool on Day 1?,admin_policy,Create IT ticket with “Day1 Access Blocker”,"If you can’t access a tool on Day 1:

1. Create an IT ticket under **“Access Request.”**
2. Include the **tool name, your role, and justification**.
3. If it blocks your Day 1 setup, label it **“Day1 Access Blocker.”**
4. Notify the **onboarding coordinator in your team channel**.

Standard access requests typically take **1–2 business days**.",PASS
Q12,What is the standard turnaround time for access requests?,admin_policy,1–2 business days,"The standard turnaround time for access requests is **1–2 business days**. Submit an IT ticket under **“Access Request”** and include the tool name, role, and justification.",PASS
Q13,Do I need to fill timesheets and when are they due?,admin_policy,Weekly by Monday 12:00; role-dependent,"Client-billable employees and select project roles must fill timesheets. If you’re unsure whether this applies to you, confirm with your manager during your first week.

Timesheets are due weekly by **Monday at 12:00** for the previous week. Record the project/task code, hours worked, and a brief description of the work.",PASS
Q14,What is the reimbursement timeline after an expense is approved?,admin_policy,7–10 business days,Approved expenses are paid within **7–10 business days**.,PASS
Q15,What are the steps to take if I suspect a security incident?,admin_policy,Disconnect; notify IT & Security; preserve evidence,"If you suspect a security incident:

1. Disconnect the affected device from the network, if it is safe to do so.
2. Notify IT & Security through the incident hotline or by submitting a ticket.
3. Preserve evidence—do not delete files.
4. If the issue involves a suspicious email, use the “Report Phishing” button in your email client.",PASS
Q16,How do I request an employment verification letter?,admin_policy,Open HR ticket category “Letters”,"To request an employment verification letter, open an HR ticket using the **“Letters”** category. If it is urgent and not acknowledged within 1 business day, escalate to your manager and add **“URGENT”** to the ticket subject.",PASS
Q17,How many PTO days can be carried forward?,admin_policy,Up to 5 PTO days,Up to **5 PTO days** may be carried forward to the next year.,PASS
