question_id,question,expected_route,gold_source,retrieved_sources,source_found_in_top_3
Q01,What are the company's core values and where should I document decisions?,general_company,data/knowledge_base/company/company_overview.md,data/knowledge_base/company/company_overview.md | data/knowledge_base/company/company_overview.md,True
Q02,What are standard work hours and the core collaboration window?,general_company,data/knowledge_base/company/company_overview.md,data/knowledge_base/company/company_overview.md | data/knowledge_base/company/company_overview.md,True
Q03,What tools are considered common internal tools during onboarding?,general_company,data/knowledge_base/company/company_overview.md,data/knowledge_base/company/company_overview.md | data/knowledge_base/company/company_overview.md,True
Q04,"As a Data Analyst, what are the first 30 days expectations?",role_specific,data/knowledge_base/roles/data_analyst_role.md,data/knowledge_base/roles/data_analyst_role.md | data/knowledge_base/roles/product_manager_role.md,True
Q05,Who should a Product Manager ask for feasibility checks and why?,role_specific,data/knowledge_base/roles/product_manager_role.md,data/knowledge_base/roles/product_manager_role.md | data/knowledge_base/roles/data_analyst_role.md,True
Q06,What are key responsibilities of a Product Manager in this organization?,role_specific,data/knowledge_base/roles/product_manager_role.md,data/knowledge_base/roles/product_manager_role.md | data/knowledge_base/roles/data_analyst_role.md,True
Q07,Which tools are commonly used by a Data Analyst here?,role_specific,data/knowledge_base/roles/data_analyst_role.md,data/knowledge_base/roles/data_analyst_role.md | data/knowledge_base/roles/product_manager_role.md,True
Q08,How do I submit an expense claim and by when?,admin_policy,data/knowledge_base/policies/expense_policy.md,data/knowledge_base/policies/expense_policy.md | data/knowledge_base/admin/travel_guidelines.md | data/knowledge_base/policies/expense_policy.md,True
Q09,Are meal expenses reimbursable during business travel and what is the daily limit?,admin_policy,data/knowledge_base/policies/expense_policy.md,data/knowledge_base/policies/expense_policy.md | data/knowledge_base/policies/expense_policy.md | data/knowledge_base/admin/travel_guidelines.md,True
Q10,How do I request PTO and what notice is expected for planned leave?,admin_policy,data/knowledge_base/policies/leave_policy.md,data/knowledge_base/policies/leave_policy.md | data/knowledge_base/faq/onboarding_faq.md | data/knowledge_base/admin/hr_processes.md,True
Q11,What should I do if I can’t access a tool on Day 1?,admin_policy,data/knowledge_base/admin/it_tools_access.md,data/knowledge_base/admin/it_tools_access.md | data/knowledge_base/faq/onboarding_faq.md | data/knowledge_base/admin/onboarding_checklist.md,True
Q12,What is the standard turnaround time for access requests?,admin_policy,data/knowledge_base/admin/it_tools_access.md,data/knowledge_base/admin/it_tools_access.md | data/knowledge_base/admin/hr_processes.md | data/knowledge_base/faq/onboarding_faq.md,True
Q13,Do I need to fill timesheets and when are they due?,admin_policy,data/knowledge_base/admin/timesheets_and_attendance.md,data/knowledge_base/admin/timesheets_and_attendance.md | data/knowledge_base/policies/expense_policy.md | data/knowledge_base/faq/onboarding_faq.md,True
Q14,What is the reimbursement timeline after an expense is approved?,admin_policy,data/knowledge_base/policies/expense_policy.md,data/knowledge_base/policies/expense_policy.md | data/knowledge_base/policies/expense_policy.md | data/knowledge_base/admin/travel_guidelines.md,True
Q15,What are the steps to take if I suspect a security incident?,admin_policy,data/knowledge_base/policies/security_compliance.md,data/knowledge_base/policies/security_compliance.md | data/knowledge_base/policies/security_compliance.md | data/knowledge_base/policies/code_of_conduct.md,True
Q16,How do I request an employment verification letter?,admin_policy,data/knowledge_base/admin/hr_processes.md,data/knowledge_base/admin/hr_processes.md | data/knowledge_base/policies/leave_policy.md | data/knowledge_base/faq/onboarding_faq.md,True
Q17,How many PTO days can be carried forward?,admin_policy,data/knowledge_base/policies/leave_policy.md,data/knowledge_base/policies/leave_policy.md | data/knowledge_base/policies/expense_policy.md | data/knowledge_base/faq/onboarding_faq.md,True
