question_id,question,expected_route,predicted_route,correct
Q01,What are the company's core values and where should I document decisions?,general_company,GENERAL,True
Q02,What are standard work hours and the core collaboration window?,general_company,GENERAL,True
Q03,What tools are considered common internal tools during onboarding?,general_company,GENERAL,True
Q04,"As a Data Analyst, what are the first 30 days expectations?",role_specific,ROLE,True
Q05,Who should a Product Manager ask for feasibility checks and why?,role_specific,ROLE,True
Q06,What are key responsibilities of a Product Manager in this organization?,role_specific,ROLE,True
Q07,Which tools are commonly used by a Data Analyst here?,role_specific,ROLE,True
Q08,How do I submit an expense claim and by when?,admin_policy,ADMIN,True
Q09,Are meal expenses reimbursable during business travel and what is the daily limit?,admin_policy,ADMIN,True
Q10,How do I request PTO and what notice is expected for planned leave?,admin_policy,ADMIN,True
Q11,What should I do if I can’t access a tool on Day 1?,admin_policy,ADMIN,True
Q12,What is the standard turnaround time for access requests?,admin_policy,ADMIN,True
Q13,Do I need to fill timesheets and when are they due?,admin_policy,ADMIN,True
Q14,What is the reimbursement timeline after an expense is approved?,admin_policy,ADMIN,True
Q15,What are the steps to take if I suspect a security incident?,admin_policy,ADMIN,True
Q16,How do I request an employment verification letter?,admin_policy,ADMIN,True
Q17,How many PTO days can be carried forward?,admin_policy,ADMIN,True
Q18,What is my exact salary breakup and tax deductions?,direct_llm,OTHER,True
Q19,Can you approve my leave request right now?,direct_llm,OTHER,True
Q20,Write a personal performance improvement plan for me based on my manager's feedback last week.,direct_llm,OTHER,True
